City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Peniche,PT,2022-04-29 01:33:08,39.3558,-9.3811,57.29,92,6,10.09
283,Baijiantan,CN,2022-04-29 01:24:22,45.6333,85.1833,58.75,28,0,5.06
284,Vila Velha,BR,2022-04-29 01:33:09,-20.3297,-40.2925,76.95,93,20,4.61
285,Maarianhamina,AX,2022-04-29 01:33:09,60.0973,19.9348,28.26,93,0,2.3
286,Shwebo,MM,2022-04-29 01:33:10,22.5667,95.7,97.25,19,2,2.06
287,Deputatskiy,RU,2022-04-29 01:33:10,69.3,139.9,15.21,81,81,3.0
288,Yinchuan,CN,2022-04-29 01:33:11,38.4681,106.2731,61.7,23,100,9.26
289,Kaiyuan,CN,2022-04-29 01:33:11,23.6977,103.3037,79.66,46,7,4.25
290,Khawhai,IN,2022-04-29 01:33:12,23.3667,93.1167,77.22,35,0,1.66
291,Sangareddi,IN,2022-04-29 01:33:13,17.6294,78.0917,75.52,27,5,9.69
292,Inhambane,MZ,2022-04-29 01:31:24,-23.865,35.3833,68.43,81,3,4.07
293,Itacoatiara,BR,2022-04-29 01:33:13,-3.1431,-58.4442,75.78,95,100,2.3
294,Angoche,MZ,2022-04-29 01:33:14,-16.2325,39.9086,73.62,80,72,10.85
