City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Vung Tau,VN,81.61,overcast clouds,10.346,107.0843,Seaside Resort
532,Santa Isabel,BR,83.5,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
534,Kunigal,IN,77.02,broken clouds,13.0222,77.0267,New Durga lodge
540,Carutapera,BR,83.8,scattered clouds,-1.195,-46.02,Lidera
541,Ilheus,BR,82.22,scattered clouds,-14.7889,-39.0494,Barravento Hotel
544,Miramar,US,85.01,few clouds,25.9873,-80.2323,Stadium Hotel
552,Owando,CG,79.16,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
553,Boda,CF,76.33,overcast clouds,4.3189,17.4695,
557,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
558,Harper,LR,82.94,light rain,4.375,-7.7169,Screensaver
560,Camacari,BR,83.97,overcast clouds,-12.6975,-38.3242,Sítio Blasi
561,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
564,Esmeralda,CU,84.9,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
566,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
573,Meadow Lake,US,77.68,clear sky,34.8014,-106.5436,TumbleWeed RV Park
577,Pathein,MM,80.78,scattered clouds,16.7833,94.7333,Pathein Hotel
578,Hobyo,SO,85.75,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
581,Prado,BR,80.91,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
585,Torrevieja,ES,75.6,broken clouds,37.9787,-0.6822,Hotel Fontana Plaza
586,Elizabeth City,US,78.06,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
591,Beboto,TD,87.17,overcast clouds,8.2668,16.939,
596,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
597,Shirgaon,IN,83.41,clear sky,19.7,72.7,"Samarth Krupa Farm, Palghar"
604,Ilhabela,BR,81.05,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
608,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
611,Dawei,MM,77.18,overcast clouds,14.0833,98.2,Hotel Dawei
615,Sorong,ID,79.59,broken clouds,-0.8833,131.25,Waigo Splash Hotel
616,Luganville,VU,78.22,light rain,-15.5333,167.1667,The Espiritu Hotel
617,Micheweni,TZ,79.12,light rain,-4.9667,39.8333,
619,Thinadhoo,MV,85.96,broken clouds,0.5333,72.9333,
627,Bafq,IR,78.67,clear sky,31.6128,55.4107,Alamdar Hotel
629,Santo Antonio De Jesus,BR,79.63,overcast clouds,-12.9689,-39.2614,5C Hotel - Feito para Você
630,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
633,Sekondi,GH,82.06,overcast clouds,4.937,-1.7128,Mapees Guest House
634,Gemena,CD,77.95,overcast clouds,3.25,19.7667,Hôtel Goshen
636,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
639,Bam,IR,76.53,broken clouds,29.106,58.357,Bam Tourist Hotel
642,Loralai,PK,81.23,broken clouds,30.3705,68.598,Saddam Hotel & Resturant
644,Catuday,PH,80.62,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
645,Porto Seguro,BR,82.92,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
657,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
659,Biu,NG,89.49,overcast clouds,10.6129,12.1946,Emir's Palace
661,Xique-Xique,BR,89.55,scattered clouds,-10.8218,-42.7263,Hotel J. Macedo
663,Waddan,LY,84.94,clear sky,29.1614,16.139,محل الشريف محمد العايب
665,Ouadda,CF,78.26,overcast clouds,8.0777,22.4007,
667,Entre Rios,BR,82.2,overcast clouds,-11.9419,-38.0844,Pousada Porteira
668,Mahbubabad,IN,86.83,few clouds,17.6167,80.0167,District Collector Residence
670,Roanoke Rapids,US,81.01,clear sky,36.4615,-77.6542,Hampton Inn Roanoke Rapids
671,Boyolangu,ID,76.26,light rain,-8.1181,111.8935,Yos ega cv
679,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
680,Salinopolis,BR,81.59,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
685,Marsh Harbour,BS,75.9,light rain,26.5412,-77.0636,Abaco Beach Resort
699,Parati,BR,84.42,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
700,Tessalit,ML,89.13,clear sky,20.1986,1.0114,
701,Poum,NC,77.11,clear sky,-20.2333,164.0167,
702,Ligayan,PH,83.07,scattered clouds,4.6533,119.4706,
704,Rio Piracicaba,BR,76.62,scattered clouds,-19.9292,-43.1742,Palladium Hotel
705,Dabakala,CI,88.77,overcast clouds,8.3667,-4.4333,Hôtel Campement
706,Breves,BR,77.18,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
707,Inongo,CD,75.02,broken clouds,-1.95,18.2667,Hotel Du Lac
709,Paicol,CO,77.65,overcast clouds,2.4496,-75.775,Posada camino guanacas
710,General Delgado,PY,77.52,scattered clouds,-27.1667,-56.5167,Andreea Patricia Estate
711,Igbo Ora,NG,84.51,overcast clouds,7.4333,3.2833,Pinkbell Inn
713,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
719,Bubaque,GW,78.73,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
721,Las Vegas,US,81.84,clear sky,36.175,-115.1372,Plaza Hotel & Casino
723,Nabisar,PK,89.46,clear sky,25.0685,69.6419,Dhani Parto Dars
725,Piacabucu,BR,82.8,broken clouds,-10.4056,-36.4344,Piaçabuçu News
